Entry	Mass
P67430	22,275
P32710	61,295
P33607	66,438
P0ACQ4	34,276
Q46890	23,222
P77183	34,954
P0AFI9	39,194
P0A924	29,021
P0A9L5	10,232
P0A6U5	23,431
P0AG99	11,365
P52045	29,173
P0A821	50,607
P0AC41	64,422
P39180	106,825
P22333	36,397
P0AE14	32,122
P75713	28,730
P21179	84,163
P76254	35,661
P77390	40,077
P63284	95,585
P17315	73,896
P77808	44,226
P0A6I9	22,622
P0ACN7	37,820
P29680	39,248
P77510	61,684
P0AE08	20,761
P05052	28,763
P68699	8,256
P0ABC0	13,632
P06609	34,949
P52107	11,967
P25524	47,591
P0AAF3	55,018
P77570	39,496
P77398	74,289
P0AE56	7,363
P36659	34,455
P77231	31,644
P45955	28,231
P60844	23,703
P12008	39,137
P06864	117,879
P0AEC5	102,453
P12998	41,594
P0ABR7	42,561
P0A9J8	43,111
P0AE28	24,917
P63883	45,634
P00561	89,120
P23910	41,926
P56976	4,556
P37657	59,428
P23890	57,813
P00968	117,842
P64467	8,417
P0A8Q6	12,179
P24224	14,052
P0AC28	21,105
P00509	43,573
P46478	7,847
P06720	50,657
P62672	13,867
P27297	30,868
P37655	27,140
P75726	55,173
P0A8S1	33,472
P36560	10,591
P77774	41,887
P0AC02	27,829
P0ABM5	7,745
P31552	58,559
P76236	56,101
P05100	21,100
P26365	47,985
P76458	23,526
P37028	29,367
Q06067	67,790
P0ABD3	18,495
P76127	7,987
P0A6H8	54,822
P76518	41,671
P00350	51,481
P76464	151,114
P11447	50,318
P0AB91	38,010
P76459	22,960
Q06065	52,176
P06611	27,081
P11989	32,097
P60584	42,558
P67662	34,516
P24180	41,318
P05637	31,297
P75993	9,694
P24242	36,813
P52086	23,308
P23878	29,784
P07821	28,886
P0A6T3	41,442
P22256	45,775
P0A9S3	37,390
P0C8J6	30,812
P06715	48,773
P0CF40	13,452
P00803	35,960
P69212	13,115
P0A6U3	69,521
P09424	41,139
P0A9E5	27,967
P23882	34,168
P0AFS3	26,348
P45543	28,332
P0AC33	60,299
P27248	40,147
P36930	12,403
P0ACP5	36,422
P0A6F3	56,231
P0AER8	42,425
P15038	77,976
P03825	15,876
P07109	28,653
P77494	5,626
P0AEW1	23,361
P30147	29,377
P77437	56,767
P05791	65,532
P0CF55	34,398
P00894	17,977
P0ACD4	13,849
P45395	35,196
P76141	33,797
P0AB38	22,516
P24205	37,410
P15005	53,157
P0AE18	29,331
P0AE70	12,098
P0A9F9	35,629
P0DSF3	3,858
P17443	37,815
P0AAE5	49,501
P15034	49,815
P22106	62,659
P0CB39	66,610
P0A9R2	7,778
P0A6N8	21,533
P13039	45,652
P75942	34,475
P04079	58,679
P25746	22,948
P67701	14,995
P0ACG6	5,737
P37182	17,751
P23481	22,154
P0CF68	11,543
P0A707	20,564
P0A6Y1	10,651
P0AD96	39,076
P0AEZ3	29,614
P77338	127,215
P08660	48,532
P0ADF6	64,639
P0AEG6	25,622
P11551	47,545
P33195	104,376
P62707	28,556
P0A7A2	24,065
P0AEQ6	24,364
P0CI31	28,500
P41443	18,565
P64634	20,796
P0AAN3	31,565
P19769	33,477
P0CF89	44,281
P60546	23,593
P77739	32,459
P30958	129,983
P0C0T5	30,137
P54746	100,015
P0A731	16,919
A5A616	3,509
P0A9F1	17,640
P11071	67,699
P76052	52,194
P50466	55,066
P0ACL0	28,048
P45760	13,901
P10371	26,033
P52062	42,584
P0AB20	11,779
P0A6Z1	65,652
P57998	19,700
P0CF58	34,398
P0AB80	34,094
P0AEW6	48,449
P0CF80	33,540
P0A6I0	24,746
P76143	31,893
P75826	32,340
P69210	11,720
P68183	32,225
P0A6W3	39,875
P77357	46,588
P24181	111,454
P0AEG4	23,105
P0AAA3	20,111
P0A6N4	20,591
P04994	51,832
P39176	34,411
P19636	31,782
P38135	62,759
P19323	78,468
P25748	37,357
P08192	45,406
P0AA80	49,009
P0AEP9	53,812
P68066	14,284
P30178	38,897
P0AES4	96,964
P0A6X3	11,166
P0ADG1	9,703
P0AEX3	47,052
P76249	23,201
P0ACH8	34,928
P0A908	27,831
P31547	23,256
Q93K97	23,667
P0AAW9	5,300
P31442	42,216
P75858	37,851
P10805	29,019
P77712	15,088
P32055	36,141
P69922	64,977
P32674	85,960
P09391	31,307
P77682	13,226
P19932	31,431
P16429	64,077
P0CF45	13,452
P0CF10	9,902
P0C054	15,774
C1P617	2,207
P24193	35,092
P76323	10,732
P0AAT6	11,582
P30192	33,808
P62620	40,684
P39380	20,530
P0DPD1	4,014
P77257	55,821
P76397	44,464
P18811	36,625
P63386	29,097
P0AFV4	21,040
P0A8P3	10,953
P23484	19,480
P24186	31,044
P0AC19	14,082
P76299	42,238
P0A8S9	13,316
P0AEP1	50,983
P37639	31,563
P0ACE7	13,241
P51020	36,470
P05793	54,069
P39343	37,567
P39346	37,147
P0AAP5	23,956
P62615	30,925
P24182	49,321
P25553	52,273
P0AB65	10,300
P36675	8,171
Q47377	12,192
P0AE37	38,456
P0A6M2	20,142
P77304	53,991
P0A8N7	36,976
P0AEJ6	49,403
P23877	34,910
P0AC23	30,991
P0AAP3	10,318
P63235	55,077
P26648	51,858
P0A9C5	51,904
P60664	28,454
P28632	15,174
P0ACB7	45,245
P0A9M2	20,115
P16430	33,029
P0CE57	37,851
P08142	60,441
P10423	37,920
P0A9P9	27,563
C1P615	2,209
P71298	53,074
P22939	32,160
P39212	10,344
P03961	20,267
P0AEX5	32,344
P37127	71,844
P77263	26,628
P77694	59,997
P52599	42,585
P0A6M8	77,581
P0A8G9	8,952
P77237	7,741
P38134	81,242
P0A9W3	62,443
P0A993	36,834
P0A996	44,108
P75849	23,784
P0AES6	89,950
P75798	34,066
P60757	33,367
A0A385XJ53	9,868
C1P616	2,151
P30131	82,066
P0CF93	40,909
P77184	5,888
P0ADV1	20,127
P0A9G6	47,522
P36548	31,412
P0ABA0	17,264
P46889	146,663
P32662	27,389
P63228	21,294
P0A9C0	58,958
P76658	51,051
P0CF66	11,543
P76056	47,539
Q46893	25,737
P39375	14,747
P0AD59	16,872
P38393	8,434
P0AD61	50,729
P13029	80,024
P23917	32,500
P76142	36,685
P0AGC5	58,302
Q46865	11,232
P0A6D3	46,096
P23895	11,958
Q47146	89,224
P08191	31,473
P15070	14,855
P33650	84,474
P24183	112,963
P45523	28,882
P23485	35,532
P0A9B2	35,532
P21437	34,323
P21345	47,159
P0AES2	49,141
P0CF91	40,909
P0CE51	37,851
P76071	37,777
P0A717	34,218
P28224	12,568
P76329	30,439
P31060	54,536
P37329	27,364
P11880	47,447
P27278	47,346
P0A6A6	49,882
P0ACV0	35,407
P75958	45,344
P22731	26,310
P0A725	33,956
P08997	60,274
P38051	48,765
P36554	50,901
P0AFL6	58,136
P0C037	10,234
P14176	37,620
P23830	52,802
P32670	91,774
P69829	17,960
P0A9N0	9,810
P37619	25,269
P0A7E1	36,775
P0DMC7	23,671
P69411	14,163
P0AG34	22,427
P77215	44,226
P0AG51	6,542
P0AEY1	23,617
P0AFB5	38,556
P45799	21,153
P36938	58,361
P0A9K1	39,265
P05706	13,304
P78061	53,177
P0AB89	51,543
P0AAH0	29,027
P0A7F3	17,121
P0AG20	83,876
P76425	30,419
P77379	31,474
P77212	48,244
P15043	68,364
P0A7J7	14,875
P31062	20,428
P77567	32,275
P0ABL1	20,714
P76027	37,188
P39401	85,494
P0A921	33,163
P0C7L2	42,277
P16256	51,717
P77528	8,493
P05055	77,101
P77541	32,135
P14175	44,163
P0AG16	56,488
P05020	38,827
P37624	100,785
P0AG30	47,004
P0A7N9	6,372
P37765	32,711
P0ACS7	32,362
P0A8V2	150,632
P78285	17,972
P0AEY8	44,321
P02916	57,013
P0A935	40,411
P13669	28,273
P33236	7,742
P11350	25,497
P0AFC3	16,457
P0ABK9	53,703
P76773	27,200
P0AFH2	33,443
P76081	39,320
P76078	10,942
P03014	20,573
P23836	25,535
P07001	54,623
P76002	14,906
P17888	81,655
P08839	63,562
Q47153	63,153
P23200	35,550
P0A6L4	32,593
P37013	55,236
P16677	29,431
P0A9K3	39,039
P0AG18	17,780
P0AGH8	34,121
P75685	21,899
P52119	10,789
P25539	40,338
P27243	46,878
P16916	156,321
P0AF93	13,612
P22564	32,561
P0AG44	14,365
P0A7K2	12,295
P0A8I8	17,341
P25772	63,179
P69451	62,332
P62522	3,231
P76445	26,759
P25744	43,867
P07017	59,944
P77348	59,900
P12282	26,719
P37596	41,404
P33599	68,236
P02931	39,333
P42588	49,661
P43676	53,809
P0ABF8	20,701
P0A7A5	23,258
P08400	49,629
P31133	40,840
P77495	69,351
P0DMC9	23,516
P24211	77,142
P0AFU8	23,445
P10151	35,695
P39196	41,656
P0ABU0	31,633
P03841	31,943
P41052	40,256
P77044	31,937
P77608	28,890
P23367	67,924
P0AAL3	24,925
P0AFA5	85,319
P31678	29,175
P25906	30,706
P16691	16,570
P16684	27,621
P16692	27,848
P0AFJ7	53,389
P00490	90,522
P0A7J3	17,712
P0A7N4	6,446
P0A754	20,170
P39400	36,448
P0AD79	3,146
P0A9V1	26,801
P69741	39,652
P18196	24,776
P00935	41,550
P0A749	44,818
P19317	26,161
P09169	35,562
P21514	40,725
P0AAF1	46,495
P27247	38,214
P46883	84,379
P18335	43,767
P0A9Q1	27,292
P17169	66,894
P07762	84,337
P08194	50,310
P13033	45,357
P0AC92	6,576
P0ABW0	11,329
P0CF54	34,398
P0CF60	24,724
P39208	21,004
P0CE56	37,851
P75679	15,250
P75680	15,850
P0ADE6	16,063
P61316	22,497
P17109	61,367
P06993	103,118
P77781	14,945
P0A734	10,235
P25738	14,259
P0AF18	40,949
P33920	37,823
P25960	24,957
P60716	36,072
P02920	46,503
P03061	3,206
Q46888	30,751
P32099	37,926
P0ACV2	35,493
P77791	20,096
P54745	69,668
P16384	35,065
P0A9X4	36,952
P12281	44,067
P76007	62,285
P0AFA7	56,728
Q47270	6,494
P0AFB1	33,621
P32712	22,784
P32709	35,042
P0A780	15,689
P64453	6,646
P0A915	22,928
P0AFI0	60,581
P19624	35,114
P24207	50,677
P29745	44,923
P77333	33,482
Q57083	33,639
Q46836	29,466
P77150	31,322
P42904	17,086
P36672	51,081
P09323	68,347
P0AFM6	25,493
P60061	46,843
P32705	59,197
P42907	41,783
P62623	34,775
P0A712	33,669
P0AB58	44,531
P09151	57,298
Q6BF87	3,972
P21645	36,038
P37636	41,191
P30750	37,788
P31061	21,404
P31806	54,650
P04846	29,424
P0C0L2	15,088
P06960	36,827
P07654	32,322
P21893	63,389
P0AA67	31,168
P37651	41,700
P67697	15,247
P06983	33,852
P0ABZ4	19,997
P0AB77	43,117
P02943	49,912
P77432	57,545
P0AF98	40,358
P0ABH4	18,788
P14900	46,974
P23909	95,247
P0ABL3	16,297
P33593	26,820
P0ADA3	40,149
P0AFG6	44,011
P22259	59,643
P45577	25,893
P37344	36,986
P08179	23,238
P0A9Q7	96,127
P0AB93	45,497
P0C8K0	47,192
P30015	169,381
P0DPD0	4,014
P15006	40,590
P15977	78,503
P0ACE0	62,491
P77569	31,322
P22523	170,230
P0ABL5	23,101
P41036	53,551
P39411	18,213
P0A9I8	12,284
P37128	21,749
P0AFE4	10,845
P33590	58,719
P62517	96,937
P0AB67	48,723
P0AAE2	50,216
P0ACP7	38,175
P0A8K1	35,934
P15254	141,403
P75687	8,472
P69924	43,517
P32166	33,594
P50456	44,316
P06721	43,212
P19318	58,558
P08201	93,121
P63020	20,998
P37057	8,430
P0ACC1	30,975
P0AFM2	36,023
P0A8A4	31,211
P69797	35,048
P37906	47,170
P32676	12,637
P00550	67,972
P0DMC5	106,506
P0AGI1	33,452
P0A7H3	27,391
P39399	35,397
P0AD92	1,723
P61320	23,551
P0AEX9	43,388
P37353	50,185
P64512	5,552
Q46864	14,703
P0A9G8	28,281
P0AFA2	67,084
P69856	27,888
P0A9N8	17,446
P0A729	21,691
P25536	21,515
P0AFF0	52,044
P0AFG3	105,062
P69432	16,082
P00914	53,667
P00634	49,439
P0A7A7	91,381
P76440	44,329
P23883	53,419
P07117	54,344
P0CF79	33,540
Q47718	22,265
P76102	43,364
P52095	80,590
P22729	46,269
P07018	57,512
P05704	58,899
P0AF06	34,186
P16926	39,530
P32125	19,363
P07623	35,727
P30745	37,346
P0AF26	26,449
P0A763	15,463
P0AFD1	18,590
P42641	43,286
P23865	76,663
P40711	15,623
P0AE34	26,217
P36937	3,072
P0AC75	47,291
P32716	36,908
P39386	44,688
P0AAX6	8,896
P24175	50,463
P0AF03	21,222
P0AF12	24,354
P08373	37,851
P0AAL0	18,047
P18843	30,637
P0AFH8	21,074
P77473	58,720
P0AFJ5	26,433
P31135	35,490
P23862	20,375
P20966	57,519
P36771	34,594
P0AD86	2,138
P0AAG5	65,222
P76558	82,417
P28306	38,247
P76506	28,042
P0AEZ7	49,417
P0A742	14,957
Q46810	21,514
P0AF10	21,990
P30011	32,762
Q46877	54,234
P23898	17,283
P76080	18,324
P77172	85,608
P77324	33,858
P23837	55,300
P31828	104,656
P36647	15,622
P0A7B5	39,057
P36683	93,498
P77624	33,931
P77671	49,602
P0ACA7	23,713
P13035	56,751
P0AET5	20,903
P23874	49,276
P43329	149,028
P77319	61,986
P37024	89,148
P0CF41	13,452
P0ABN1	13,245
P76008	33,567
P10441	42,382
P0ADV9	21,703
P0ADC1	21,357
P02942	59,443
P61889	32,337
P0A8N0	17,693
P25745	40,959
P76264	20,117
P0A746	15,451
P19319	140,227
P23872	36,034
P0AF08	39,938
P69503	19,859
P0AE22	26,104
P0A6V1	48,698
P0AER5	24,915
P75825	60,064
P23871	35,884
P52644	15,166
P0ACE3	8,628
P76340	25,018
P34749	44,716
P37180	43,602
P26281	18,079
C1P608	2,064
P0A700	13,168
P75981	28,233
P0AD74	1,762
P60995	2,081
E2JKY7	2,123
P0AEX7	32,982
P37340	49,447
P24174	53,016
P25665	84,674
P30748	8,758
P17117	26,801
P77256	36,329
P0ACN4	29,270
P15081	12,953
P77650	43,978
P36678	17,234
P0A9D2	22,868
P24232	43,868
C1P619	1,910
P21866	25,362
P76268	30,029
A8DYP9	3,109
P76594	97,987
P27245	16,065
P0AEZ1	33,103
P33940	60,230
P0AF01	24,939
P09833	39,102
P22634	31,002
P0A759	29,774
P0A962	37,127
P23908	42,347
P09831	163,297
P76641	50,244
P0ABR5	51,109
P75824	35,740
P36553	34,323
P0AB74	31,294
P33369	52,138
P0A738	17,467
P25522	49,231
P31802	23,575
P68739	24,673
P00805	36,851
P0ABB4	50,325
P76041	64,186
P0A9Z1	12,425
P23873	10,016
P16528	29,739
C1P607	2,232
P19768	19,725
P0A756	20,958
P75830	40,624
P42615	14,172
P17802	39,149
P31600	111,308
P64550	16,949
Q47129	34,620
P26266	42,100
P00363	65,972
P0A6V8	34,723
P26649	7,892
P46846	25,726
P23524	39,104
P0AER0	29,780
P41442	15,905
P0ACG4	5,502
P77858	34,359
P16433	27,999
P0AAJ8	36,003
P25666	33,458
P0CF07	9,868
P00547	33,624
P22188	53,344
P37685	56,306
P0AE12	53,995
P39265	32,910
P77581	43,665
P0C960	22,227
P0CE48	43,314
P0ACU5	26,553
P77399	77,072
P08189	18,715
P15029	34,131
P0AEM6	27,521
P07822	32,998
P0A6S0	24,615
P32177	30,560
P61949	19,737
P0ABG4	45,987
P0A825	45,317
P0AC96	46,416
P77161	30,801
P0A6W0	33,516
P60560	37,384
P28630	38,704
P0CF09	9,902
P0CF11	9,868
P75969	42,799
P27300	35,589
P33231	59,168
P76341	15,460
P0ABS8	8,846
P76339	50,850
P45750	15,098
P36646	44,450
P0AEV4	17,627
P0AEV7	15,465
P0A703	12,697
P23894	31,923
P0CF44	13,452
P0CF56	34,398
P19767	9,925
P37326	44,061
P0CF83	33,540
P0AAN9	9,937
P03960	72,199
P0A720	23,783
P77154	84,867
P0AC81	14,920
P52643	36,535
P0ACH5	15,184
P0ACD8	66,253
P0ADV7	23,963
P76112	19,248
P0AEI1	53,663
P37355	27,682
P32173	21,643
P0DKB3	5,031
P0ACR9	20,563
P24202	33,520
P76343	24,068
P38489	23,905
P0A8D0	17,229
P0AFE0	19,875
P09551	27,992
P31658	31,190
P45761	22,231
P45757	30,038
P0AEU0	28,483
P46118	31,976
P0AAK4	19,026
P77335	33,759
P0CF08	9,902
P0CE58	37,851
P0A6X7	11,354
P37339	46,082
P30125	39,517
P0ADC6	39,619
P37330	80,489
P76398	112,078
P76114	25,151
Q47690	33,423
P76190	29,917
P28635	29,432
P76085	48,953
P0A951	21,887
P0A6X1	46,307
P64578	12,103
P77423	20,159
A0A385XJL4	19,565
A0A385XJE6	37,851
P0CF42	13,452
U3PVA8	2,330
P75957	25,438
P11072	33,762
P33232	42,728
P31554	89,671
P64604	19,576
P0C0S1	30,896
P39285	123,968
P0AF24	27,163
P10902	60,337
P77258	39,516
P32664	29,689
P0A784	20,816
P77455	73,003
P0A794	26,384
P02924	35,541
P36645	50,615
P0AAN1	17,964
P0CF43	13,452
P0CF57	34,398
P0CF92	40,909
P0A6B7	45,090
P37647	33,962
P03023	38,590
P77265	66,017
P75831	70,702
P0C066	40,113
P37773	49,874
P06722	25,527
P0AFF4	46,389
P0AA16	27,354
P20083	70,244
P08372	12,004
P07102	47,057
P0A6G3	17,582
P28249	68,963
P75799	33,238
P45753	29,000
P05827	33,204
P69222	8,250
P0CF82	33,540
P63183	69,294
P76399	111,010
P02921	52,636
P76346	30,279
P60293	50,579
P0A917	18,603
P28305	29,715
P76577	85,067
P32675	32,430
P0AB10	20,634
P0A6B4	39,153
P0A9S7	28,427
P0A722	28,080
P0AEY5	21,891
P68187	40,990
P64602	10,680
P09348	32,011
P0AD65	70,857
P0AAD2	44,333
P76241	30,554
P0AEI6	17,433
P0A910	37,201
P00903	20,772
P0AC86	93,173
P27250	36,502
P0AB71	39,147
P75712	52,456
P23331	23,457
P60955	33,108
Q47154	23,779
Q46938	31,076
P03030	34,365
P25737	53,576
P31462	41,490
P77589	41,551
Q47689	50,526
P30749	16,981
P22186	17,386
P0A744	23,315
P76096	5,894
P0A761	24,074
P33591	35,248
P16687	38,853
P31992	8,673
P77243	53,952
P0A6D7	19,538
P0A6E1	19,151
P75797	56,470
P0A7B8	19,093
P0CF67	11,543
P0A705	97,350
P30126	22,487
P0AFS1	34,456
P45464	72,825
P0AD83	5,098
P24200	31,390
P0AEY3	30,412
P0A769	44,194
P76342	37,369
P39371	39,572
P11349	58,066
P0AFG8	99,668
P0AFH6	33,022
P40191	30,847
P45548	32,915
P76578	181,585
P09126	27,798
P0DP89	34,507
P37595	33,394
P04968	56,195
P45800	79,490
P21599	51,357
P0A9H3	81,260
P45578	19,416
P32714	53,453
P37637	111,517
P69739	40,681
P0A8U6	12,141
P03817	15,808
P13009	135,997
P0AF16	55,267
P0AF20	44,541
P52006	16,371
P0AFI5	33,887
P76261	59,711
P76446	58,588
P11667	23,176
P37306	31,644
P41441	44,339
P77329	63,383
P0A7A9	19,704
P0CF81	33,540
P75987	12,133
P0CE52	37,851
P0CE53	37,823
P69776	8,323
P23930	57,066
P32715	76,151
P23256	43,642
P33358	28,046
P0AFS9	49,058
P0ACV6	26,558
P76270	18,122
P17952	53,626
P22524	26,974
P33934	31,874
P0AFA9	30,362
P76242	41,208
P31057	28,237
P0A9J4	33,871
P67603	11,905
P31119	80,700
P0AEC3	87,983
P0A9E0	33,384
P30860	26,829
P0A715	30,833
P04951	27,614
P0A7C2	22,358
P0ACV4	11,351
P60785	66,570
P0ADC3	43,264
P60720	23,883
P29208	35,477
P21517	69,041
P0ABR9	34,196
P45425	29,644
P0A7B3	32,566
P0AFI2	83,831
P0AD42	24,439
P0AFK2	26,996
P00887	38,735
P09372	21,798
P0ACB2	35,625
P31474	51,462
P19931	14,890
P77091	5,564
P0CF28	19,565
P0CF29	19,565
P52061	21,039
P45522	66,411
P77672	36,395
P25894	26,842
P0AD89	2,894
P69367	44,363
P28697	17,637
P0A817	41,952
P77397	62,186
P77182	74,434
P60752	64,461
P77245	31,192
P28903	80,023
P0A8G6	20,846
P75995	56,906
P0DP70	13,335
P69434	92,207
P0A991	38,109
P0ABC7	45,545
P0ACB4	21,226
P32131	52,729
P0CF70	11,543
P39377	41,084
P0AD57	35,217
P37005	25,259
P00804	18,156
P00946	42,850
P37677	55,155
P64606	27,863
P0A752	24,528
P75949	37,595
P0ADA7	6,948
P33937	93,042
P37758	49,890
P77788	15,046
P0AAK7	24,567
P31979	49,292
P76045	34,913
P37646	29,601
P69874	43,028
P27844	33,283
P0A8A8	16,651
P16918	157,776
P0ADZ0	11,199
P42596	42,331
P0A7Z0	22,860
P0AAD6	46,906
P52647	128,824
P0AC65	9,139
P27298	77,167
P0A796	34,842
P75905	50,766
P06999	32,456
P0A7C6	24,570
P0AFK0	48,370
P69783	18,251
P33221	42,434
P0AEI4	49,582
P28369	18,834
P0A8R0	17,360
P13738	41,356
P23843	60,899
P05041	50,970
P37001	21,770
P0AFM4	11,687
P0AFV8	8,042
P0C077	11,225
P75718	7,173
P0A8V0	32,930
P24554	49,472
P75782	34,226
P77766	32,580
P0AA39	36,027
P0A805	20,639
P13458	118,721
P0AGA2	48,512
P33602	100,299
P76079	27,877
G3MTW7	3,465
P26647	27,453
P0AA04	9,119
P28304	35,172
P76062	17,663
P0AGL5	17,727
P27126	36,730
P0A7I4	59,574
P30176	18,669
P76470	46,294
P32170	47,199
P37146	36,443
P0A8J8	47,126
P68679	8,500
P0A8W0	29,524
P39370	36,878
P0AFF2	43,476
Q46891	29,217
P40120	62,758
P77747	41,220
P0A790	13,834
P0AFI7	25,545
P37095	46,180
P33554	17,865
P21369	23,362
P50457	44,729
P0AAV4	23,947
P04982	15,292
P04983	55,042
P39452	80,479
P0AG48	11,564
P52129	40,061
P0AG59	11,580
P0A9G2	34,284
P0AFG0	20,532
P02932	38,922
P69801	27,636
P24230	76,430
P0AAZ4	49,626
P0A7X6	20,605
P61714	16,157
P0ADY7	15,281
P0A7Q1	7,289
P36979	43,086
P21499	92,109
P13445	37,972
Q6BF25	3,917
P0ACJ0	18,887
P43341	26,894
P0AAG8	56,415
P76535	31,220
P09152	140,489
Q47005	32,835
P08337	14,927
P0A9L8	28,145
P76084	14,851
P0AFK6	29,111
P37590	9,871
P76038	28,013
P0A7F9	39,431
P60624	11,316
P24255	53,990
P27431	42,579
P21513	118,197
P77551	11,070
P0AD72	1,924
P64461	11,255
P39398	49,440
P0ADF3	3,750
P31121	7,537
P0AE72	9,356
P0AEZ9	18,665
P46022	27,342
P40874	40,902
P0A9I5	9,469
P11458	38,241
P75960	31,464
P0AF63	15,593
P06996	40,368
P75785	59,706
P02919	94,293
P23842	83,524
P0AFK4	31,062
P60782	22,193
P76395	27,208
P42909	17,622
P09029	39,461
P37759	40,558
P16688	31,845
P09373	85,357
P23869	18,153
P0AFL9	46,463
P33644	26,339
P07012	41,251
P0A948	22,688
P13857	20,681
P0AG63	9,704
C1P611	3,103
P76350	47,817
P00926	47,901
P39364	29,355
P75867	65,819
P0ACL7	29,166
P04816	39,379
P26616	63,197
P0AF28	23,927
P0A6Z6	15,094
P0AFB8	52,255
P04391	36,907
P31663	31,598
P61175	12,226
P60723	22,087
P75876	44,357
P0AFQ5	13,763
P0A9T0	44,176
P19926	45,683
P0A988	40,587
P0A6P1	30,423
P75856	25,389
P0AEK2	25,560
P0AEJ8	9,956
P30855	134,743
P0AEK0	25,133
P0AEK4	27,864
P33135	28,543
P0AEK7	25,368
P04128	18,111
