"Entry","Mw","conc_mmolgDW","0.9conc"
"P77156",34360,"#VALUE!","#VALUE!"
"P76518",41671,"#VALUE!","#VALUE!"
"P76186",75267,"#VALUE!","#VALUE!"
"P52131",32094,"#VALUE!","#VALUE!"
"P52124",54027,"#VALUE!","#VALUE!"
"P50466",55066,"#VALUE!","#VALUE!"
"P43319",38535,"#VALUE!","#VALUE!"
"P38035",60299,"#VALUE!","#VALUE!"
"P37387",35734,"#VALUE!","#VALUE!"
"P33934",31874,"#VALUE!","#VALUE!"
"P33013",43346,"#VALUE!","#VALUE!"
"P31574",33513,"#VALUE!","#VALUE!"
"P24216",48456,"#VALUE!","#VALUE!"
"P23877",34910,"#VALUE!","#VALUE!"
"P16431",64980,"#VALUE!","#VALUE!"
"P10903",49693,"#VALUE!","#VALUE!"
"P0ACV2",35493,"#VALUE!","#VALUE!"
"Q46802",66096,"#VALUE!","#VALUE!"
"P76555",25418,"#VALUE!","#VALUE!"
"P76417",47359,"#VALUE!","#VALUE!"
"P76228",40346,"#VALUE!","#VALUE!"
"P76044",29832,"#VALUE!","#VALUE!"
"P75908",51783,"#VALUE!","#VALUE!"
"P75853",34558,"#VALUE!","#VALUE!"
"P75793",90125,"#VALUE!","#VALUE!"
"P75693",24811,"#VALUE!","#VALUE!"
"P71296",32679,"#VALUE!","#VALUE!"
"P71244",51316,"#VALUE!","#VALUE!"
"P69739",40681,"#VALUE!","#VALUE!"
"P65290",17705,"#VALUE!","#VALUE!"
"P55138",54177,"#VALUE!","#VALUE!"
"P52073",38361,"#VALUE!","#VALUE!"
"P52048",45818,"#VALUE!","#VALUE!"
"P45757",30038,"#VALUE!","#VALUE!"
"P42630",48522,"#VALUE!","#VALUE!"
"P39381",41361,"#VALUE!","#VALUE!"
"P37772",34978,"#VALUE!","#VALUE!"
"P37681",27414,"#VALUE!","#VALUE!"
"P37627",61164,"#VALUE!","#VALUE!"
"P37047",43687,"#VALUE!","#VALUE!"
"P37009",39059,"#VALUE!","#VALUE!"
"P36554",50901,"#VALUE!","#VALUE!"
"P32718",33821,"#VALUE!","#VALUE!"
"P32138",77275,"#VALUE!","#VALUE!"
"P31471",42755,"#VALUE!","#VALUE!"
"P31459",31374,"#VALUE!","#VALUE!"
"P25736",26709,"#VALUE!","#VALUE!"
"P0AGM2",22048,2.87094014807526E-07,2.58384613326773E-07
"P0ACD8",66253,"#VALUE!","#VALUE!"
"P0AAF3",55018,"#VALUE!","#VALUE!"
"P0A6S0",24615,"#VALUE!","#VALUE!"
"P06974",37849,"#VALUE!","#VALUE!"
"Q47538",28297,"#VALUE!","#VALUE!"
"Q46898",25209,"#VALUE!","#VALUE!"
"Q46814",103519,"#VALUE!","#VALUE!"
"Q46799",81321,"#VALUE!","#VALUE!"
"P76486",32136,"#VALUE!","#VALUE!"
"P76254",35661,"#VALUE!","#VALUE!"
"P76135",28725,"#VALUE!","#VALUE!"
"P76081",39320,"#VALUE!","#VALUE!"
"P75859",18914,"#VALUE!","#VALUE!"
"P75764",81505,"#VALUE!","#VALUE!"
"P75747",36884,"#VALUE!","#VALUE!"
"P64557",28650,"#VALUE!","#VALUE!"
"P63340",45099,8.64544476409028E-07,7.78090028768125E-07
"P45541",31169,"#VALUE!","#VALUE!"
"P39306",25278,"#VALUE!","#VALUE!"
"P37766",57562,"#VALUE!","#VALUE!"
"P32151",39294,"#VALUE!","#VALUE!"
"P31665",34607,"#VALUE!","#VALUE!"
"P31552",58559,"#VALUE!","#VALUE!"
"P31434",88079,"#VALUE!","#VALUE!"
"P28629",84425,"#VALUE!","#VALUE!"
"P27375",21131,"#VALUE!","#VALUE!"
"P25748",37357,"#VALUE!","#VALUE!"
"P25744",43867,"#VALUE!","#VALUE!"
"P24175",50463,"#VALUE!","#VALUE!"
"P16433",27999,"#VALUE!","#VALUE!"
"P15032",96368,"#VALUE!","#VALUE!"
"P11868",43384,"#VALUE!","#VALUE!"
"P0C7L2",42277,"#VALUE!","#VALUE!"
"P0AFI0",60581,"#VALUE!","#VALUE!"
"P0AER0",29780,"#VALUE!","#VALUE!"
"P0AB93",45497,"#VALUE!","#VALUE!"
"P0AAL3",24925,"#VALUE!","#VALUE!"
"P0A6S3",38169,"#VALUE!","#VALUE!"
"P0A6L7",54808,"#VALUE!","#VALUE!"
"P0A6D5",31228,"#VALUE!","#VALUE!"
"Q46808",57682,"#VALUE!","#VALUE!"
"P77596",69399,7.82983676747799E-08,7.04685309073019E-08
"P77423",20159,"#VALUE!","#VALUE!"
"P77339",29606,"#VALUE!","#VALUE!"
"P77221",50374,"#VALUE!","#VALUE!"
"P76216",49299,"#VALUE!","#VALUE!"
"P76201",27470,"#VALUE!","#VALUE!"
"P76052",52194,"#VALUE!","#VALUE!"
"P76010",27857,"#VALUE!","#VALUE!"
"P75933",23519,"#VALUE!","#VALUE!"
"P56580",33332,"#VALUE!","#VALUE!"
"P39396",77324,1.15000727522333E-05,1.035006547701E-05
"P39346",37147,"#VALUE!","#VALUE!"
"P38101",21248,"#VALUE!","#VALUE!"
"P32143",31728,"#VALUE!","#VALUE!"
"P30147",29377,"#VALUE!","#VALUE!"
"P30143",51663,"#VALUE!","#VALUE!"
"P13039",45652,"#VALUE!","#VALUE!"
"P11553",52259,"#VALUE!","#VALUE!"
"P10805",29019,"#VALUE!","#VALUE!"
"P0AF26",26449,"#VALUE!","#VALUE!"
"P0AEP7",64732,"#VALUE!","#VALUE!"
"P0AEM6",27521,"#VALUE!","#VALUE!"
"P0AE37",38456,"#VALUE!","#VALUE!"
"P0ADM6",24170,"#VALUE!","#VALUE!"
"P0AAE5",49501,"#VALUE!","#VALUE!"
"P09377",32315,"#VALUE!","#VALUE!"
"P02924",35541,"#VALUE!","#VALUE!"
"Q46942",30850,"#VALUE!","#VALUE!"
"Q46836",29466,"#VALUE!","#VALUE!"
"P77795",37041,"#VALUE!","#VALUE!"
"P77743",58649,"#VALUE!","#VALUE!"
"P77694",59997,"#VALUE!","#VALUE!"
"P77657",24471,"#VALUE!","#VALUE!"
"P77608",28890,"#VALUE!","#VALUE!"
"P77539",38732,"#VALUE!","#VALUE!"
"P77280",37701,"#VALUE!","#VALUE!"
"P77183",34954,"#VALUE!","#VALUE!"
"P77161",30801,"#VALUE!","#VALUE!"
"P76221",26160,"#VALUE!","#VALUE!"
"P76215",35800,"#VALUE!","#VALUE!"
"P76175",44153,1.3E-08,1.1744755151217E-08
"P75969",42799,"#VALUE!","#VALUE!"
"P71242",47344,"#VALUE!","#VALUE!"
"P52074",45110,"#VALUE!","#VALUE!"
"P52052",35994,"#VALUE!","#VALUE!"
"P46923",88964,"#VALUE!","#VALUE!"
"P46890",64992,"#VALUE!","#VALUE!"
"P37679",32455,"#VALUE!","#VALUE!"
"P33590",58719,"#VALUE!","#VALUE!"
"P31991",18907,"#VALUE!","#VALUE!"
"P31474",51462,"#VALUE!","#VALUE!"
"P31462",41490,"#VALUE!","#VALUE!"
"P30852",40955,"#VALUE!","#VALUE!"
"P30176",18669,"#VALUE!","#VALUE!"
"P30130",96482,"#VALUE!","#VALUE!"
"P25743",23521,"#VALUE!","#VALUE!"
"P24177",113047,"#VALUE!","#VALUE!"
"P23522",27384,"#VALUE!","#VALUE!"
"P17411",50513,"#VALUE!","#VALUE!"
"P16869",81233,"#VALUE!","#VALUE!"
"P0ADD2",17047,"#VALUE!","#VALUE!"
"P0ABR5",51109,"#VALUE!","#VALUE!"
"P0AAJ8",36003,"#VALUE!","#VALUE!"
"P00722",116483,"#VALUE!","#VALUE!"
"Q47013",46078,"#VALUE!","#VALUE!"
"Q46807",33071,"#VALUE!","#VALUE!"
"P77335",33759,"#VALUE!","#VALUE!"
"P76577",85067,"#VALUE!","#VALUE!"
"P76573",20230,"#VALUE!","#VALUE!"
"P76483",19019,"#VALUE!","#VALUE!"
"P76399",111010,"#VALUE!","#VALUE!"
"P76242",41208,"#VALUE!","#VALUE!"
"P76161",27926,"#VALUE!","#VALUE!"
"P76097",51043,"#VALUE!","#VALUE!"
"P75938",25912,"#VALUE!","#VALUE!"
"P75860",18512,"#VALUE!","#VALUE!"
"P75685",21899,"#VALUE!","#VALUE!"
"P69506",24883,"#VALUE!","#VALUE!"
"P46849",35903,"#VALUE!","#VALUE!"
"P33343",19061,"#VALUE!","#VALUE!"
"P33235",57930,"#VALUE!","#VALUE!"
"P33234",29007,"#VALUE!","#VALUE!"
"P33025",32910,"#VALUE!","#VALUE!"
"P32176",112549,1.20709983498619E-07,1.08638985148757E-07
"P31572",45127,"#VALUE!","#VALUE!"
"P31551",28190,"#VALUE!","#VALUE!"
"P31443",19188,"#VALUE!","#VALUE!"
"P24218",45090,"#VALUE!","#VALUE!"
"P23876",33871,"#VALUE!","#VALUE!"
"P15081",12953,"#VALUE!","#VALUE!"
"P10151",35695,"#VALUE!","#VALUE!"
"P0CI31",28500,"#VALUE!","#VALUE!"
"P0AEP9",53812,"#VALUE!","#VALUE!"
"P0AE24",51684,"#VALUE!","#VALUE!"
"P0ABW5",18475,"#VALUE!","#VALUE!"
"P06972",70423,"#VALUE!","#VALUE!"
"P80644",21253,"#VALUE!","#VALUE!"
"P77432",57545,"#VALUE!","#VALUE!"
"P77357",46588,"#VALUE!","#VALUE!"
"P77324",33858,"#VALUE!","#VALUE!"
"P77263",26628,"#VALUE!","#VALUE!"
"P76584",32716,"#VALUE!","#VALUE!"
"P76419",34385,"#VALUE!","#VALUE!"
"P76369",34169,"#VALUE!","#VALUE!"
"P76103",40583,1.72908895281806E-07,1.55618005753625E-07
"P75988",15769,"#VALUE!","#VALUE!"
"P75967",25147,"#VALUE!","#VALUE!"
"P65807",44804,"#VALUE!","#VALUE!"
"P54746",100015,"#VALUE!","#VALUE!"
"P52044",34674,"#VALUE!","#VALUE!"
"P45753",29000,"#VALUE!","#VALUE!"
"P36881",16540,"#VALUE!","#VALUE!"
"P33354",16594,"#VALUE!","#VALUE!"
"P32674",85960,"#VALUE!","#VALUE!"
"P27896",63697,"#VALUE!","#VALUE!"
"P19642",56627,"#VALUE!","#VALUE!"
"P15070",14855,"#VALUE!","#VALUE!"
"P13036",85322,"#VALUE!","#VALUE!"
"P0AC00",38569,"#VALUE!","#VALUE!"
"P0ABL8",23619,"#VALUE!","#VALUE!"
"P0AAI1",27738,"#VALUE!","#VALUE!"
"P04152",47680,"#VALUE!","#VALUE!"
"Q46896",33194,"#VALUE!","#VALUE!"
"Q46817",46758,"#VALUE!","#VALUE!"
"P78271",28243,"#VALUE!","#VALUE!"
"P77489",78088,"#VALUE!","#VALUE!"
"P77252",26004,"#VALUE!","#VALUE!"
"P76352",60061,"#VALUE!","#VALUE!"
"P76043",38217,"#VALUE!","#VALUE!"
"P75976",20212,"#VALUE!","#VALUE!"
"P55798",25274,"#VALUE!","#VALUE!"
"P45956",10518,"#VALUE!","#VALUE!"
"P42913",20744,"#VALUE!","#VALUE!"
"P39386",44688,"#VALUE!","#VALUE!"
"P39308",29739,"#VALUE!","#VALUE!"
"P38104",45968,"#VALUE!","#VALUE!"
"P37018",20307,"#VALUE!","#VALUE!"
"P32719",26109,"#VALUE!","#VALUE!"
"P32169",30145,"#VALUE!","#VALUE!"
"P31129",33863,"#VALUE!","#VALUE!"
"P19317",26161,"#VALUE!","#VALUE!"
"P0AFV0",41988,"#VALUE!","#VALUE!"
"P0AFU2",65872,"#VALUE!","#VALUE!"
"P0AE26",34211,"#VALUE!","#VALUE!"
"P0AAJ5",33100,"#VALUE!","#VALUE!"
"P0AA93",62657,"#VALUE!","#VALUE!"
"P0A9N8",17446,"#VALUE!","#VALUE!"
"P07363",71382,"#VALUE!","#VALUE!"
"P00944",49742,"#VALUE!","#VALUE!"
"P77396",32356,"#VALUE!","#VALUE!"
"P77165",24343,"#VALUE!","#VALUE!"
"P76473",62543,"#VALUE!","#VALUE!"
"P76440",44329,"#VALUE!","#VALUE!"
"P76249",23201,5.15464253858968E-07,4.63917828473071E-07
"P75975",7402,"#VALUE!","#VALUE!"
"P45425",29644,"#VALUE!","#VALUE!"
"P42589",12315,"#VALUE!","#VALUE!"
"P37758",49890,"#VALUE!","#VALUE!"
"P37680",25561,"#VALUE!","#VALUE!"
"P37355",27682,"#VALUE!","#VALUE!"
"P37017",21047,"#VALUE!","#VALUE!"
"P33927",71389,"#VALUE!","#VALUE!"
"P31666",46315,"#VALUE!","#VALUE!"
"P30131",82066,"#VALUE!","#VALUE!"
"P28722",25339,"#VALUE!","#VALUE!"
"P25889",45069,"#VALUE!","#VALUE!"
"P23890",57813,9.13480956205766E-08,8.22132860585189E-08
"P0ABW0",11329,"#VALUE!","#VALUE!"
"P0ABE9",23764,"#VALUE!","#VALUE!"
"P0AAF1",46495,"#VALUE!","#VALUE!"
"P0A8T5",11127,"#VALUE!","#VALUE!"
"P09836",48257,"#VALUE!","#VALUE!"
"P09835",56306,"#VALUE!","#VALUE!"
"P09152",140489,"#VALUE!","#VALUE!"
"P08189",18715,"#VALUE!","#VALUE!"
"Q46800",31557,"#VALUE!","#VALUE!"
"P77619",47752,"#VALUE!","#VALUE!"
"P77607",27274,"#VALUE!","#VALUE!"
"P77580",33442,"#VALUE!","#VALUE!"
"P77260",53685,"#VALUE!","#VALUE!"
"P76632",18702,"#VALUE!","#VALUE!"
"P76505",40249,"#VALUE!","#VALUE!"
"P76173",30524,"#VALUE!","#VALUE!"
"P76085",48953,"#VALUE!","#VALUE!"
"P75977",12156,"#VALUE!","#VALUE!"
"P75770",35860,"#VALUE!","#VALUE!"
"P75678",31892,"#VALUE!","#VALUE!"
"P69741",39652,3.42555358577162E-07,3.08299822719446E-07
"P56256",17459,"#VALUE!","#VALUE!"
"P46857",10613,"#VALUE!","#VALUE!"
"P45804",64637,"#VALUE!","#VALUE!"
"P42632",85936,1.59859167336009E-07,1.43873250602408E-07
"P42603",20512,"#VALUE!","#VALUE!"
"P39829",56402,"#VALUE!","#VALUE!"
"P39399",35397,"#VALUE!","#VALUE!"
"P39382",31956,"#VALUE!","#VALUE!"
"P39362",23214,"#VALUE!","#VALUE!"
"P39208",21004,"#VALUE!","#VALUE!"
"P37669",37570,"#VALUE!","#VALUE!"
"P37651",41700,"#VALUE!","#VALUE!"
"P32669",23555,"#VALUE!","#VALUE!"
"P32141",31983,"#VALUE!","#VALUE!"
"P31675",42713,"#VALUE!","#VALUE!"
"P27296",81440,7.5E-08,6.75323421194977E-08
"P06134",39324,"#VALUE!","#VALUE!"
"P77256",36329,"#VALUE!","#VALUE!"
"P75858",37851,"#VALUE!","#VALUE!"
"P75824",35740,"#VALUE!","#VALUE!"
"P69816",11248,"#VALUE!","#VALUE!"
"P52135",17099,"#VALUE!","#VALUE!"
"P46126",11805,"#VALUE!","#VALUE!"
"P39358",70017,"#VALUE!","#VALUE!"
"P37617",76840,"#VALUE!","#VALUE!"
"P31449",33958,"#VALUE!","#VALUE!"
"P30015",169381,"#VALUE!","#VALUE!"
"P28303",49646,1.27234847471517E-07,1.14511362724365E-07
"P27842",14549,"#VALUE!","#VALUE!"
"P21189",90053,"#VALUE!","#VALUE!"
"P18777",30826,"#VALUE!","#VALUE!"
"P11349",58066,"#VALUE!","#VALUE!"
"P0AG71",54764,"#VALUE!","#VALUE!"
"P0AEL0",24606,"#VALUE!","#VALUE!"
"P0AAG5",65222,"#VALUE!","#VALUE!"
"P0A853",52773,"#VALUE!","#VALUE!"
"P08190",17317,"#VALUE!","#VALUE!"
"Q47129",34620,"#VALUE!","#VALUE!"
"Q46839",58920,"#VALUE!","#VALUE!"
"Q46831",24614,"#VALUE!","#VALUE!"
"P77704",30810,"#VALUE!","#VALUE!"
"P76204",27046,5.21989117831866E-08,4.7E-08
"P75683",50632,"#VALUE!","#VALUE!"
"P52627",21658,"#VALUE!","#VALUE!"
"P52132",31255,"#VALUE!","#VALUE!"
"P39370",36878,"#VALUE!","#VALUE!"
"P39352",44104,"#VALUE!","#VALUE!"
"P39333",24598,"#VALUE!","#VALUE!"
"P39264",19373,"#VALUE!","#VALUE!"
"P37650",127724,7.17735037018816E-08,6.45961533316934E-08
"P33596",19424,"#VALUE!","#VALUE!"
"P32108",13866,"#VALUE!","#VALUE!"
"P31470",26279,"#VALUE!","#VALUE!"
"P23910",41926,"#VALUE!","#VALUE!"
"P23872",36034,"#VALUE!","#VALUE!"
"P15006",40590,"#VALUE!","#VALUE!"
"P0AC88",42047,"#VALUE!","#VALUE!"
"P0ABX2",13968,"#VALUE!","#VALUE!"
"P0AB85",38549,2.28370239051441E-07,2.05533215146297E-07
"P0A9I8",12284,"#VALUE!","#VALUE!"
"P08401",52176,"#VALUE!","#VALUE!"
"P08202",56074,"#VALUE!","#VALUE!"
"P08201",93121,"#VALUE!","#VALUE!"
"P05050",24076,"#VALUE!","#VALUE!"
"Q6BF17",42523,"#VALUE!","#VALUE!"
"P77378",33770,"#VALUE!","#VALUE!"
"P76559",38746,"#VALUE!","#VALUE!"
"P76474",14085,"#VALUE!","#VALUE!"
"P60584",42558,"#VALUE!","#VALUE!"
"P51020",36470,"#VALUE!","#VALUE!"
"P45551",13528,"#VALUE!","#VALUE!"
"P37664",17104,"#VALUE!","#VALUE!"
"P37342",58020,"#VALUE!","#VALUE!"
"P31827",89283,"#VALUE!","#VALUE!"
"P31126",42659,"#VALUE!","#VALUE!"
"P23841",33627,"#VALUE!","#VALUE!"
"P0AEV7",15465,"#VALUE!","#VALUE!"
"P0ADR0",15590,"#VALUE!","#VALUE!"
"P0AD14",62092,6.52486397289833E-08,5.8723775756085E-08
"P0ACH8",34928,"#VALUE!","#VALUE!"
"P0ABL5",23101,"#VALUE!","#VALUE!"
"P77790",21213,"#VALUE!","#VALUE!"
"P77700",34866,"#VALUE!","#VALUE!"
"P77473",58720,"#VALUE!","#VALUE!"
"P77379",31474,"#VALUE!","#VALUE!"
"P76909",24017,"#VALUE!","#VALUE!"
"P75925",20736,"#VALUE!","#VALUE!"
"P75855",18680,"#VALUE!","#VALUE!"
"P39361",29268,"#VALUE!","#VALUE!"
"P39314",35208,"#VALUE!","#VALUE!"
"P39279",32947,2.31632671037891E-07,2.08469403934102E-07
"P38392",19244,"#VALUE!","#VALUE!"
"P37678",23445,"#VALUE!","#VALUE!"
"P37610",32410,"#VALUE!","#VALUE!"
"P31600",111308,5.21989117831866E-08,4.7E-08
"P25718",75713,"#VALUE!","#VALUE!"
"P23524",39104,"#VALUE!","#VALUE!"
"P15028",33146,"#VALUE!","#VALUE!"
"P0AFS5",37543,"#VALUE!","#VALUE!"
"P0AE95",14879,"#VALUE!","#VALUE!"
"P0ADL6",13768,"#VALUE!","#VALUE!"
"P0ABT8",32866,"#VALUE!","#VALUE!"
"P0AAM3",9732,"#VALUE!","#VALUE!"
"P0A9P9",27563,"#VALUE!","#VALUE!"
"Q47155",39516,"#VALUE!","#VALUE!"
"Q47142",41593,"#VALUE!","#VALUE!"
"Q46897",22293,"#VALUE!","#VALUE!"
"P80645",41736,"#VALUE!","#VALUE!"
"P77656",16408,"#VALUE!","#VALUE!"
"P77265",66017,"#VALUE!","#VALUE!"
"P76398",112078,7.5E-08,6.75323421194977E-08
"P76217",53026,"#VALUE!","#VALUE!"
"P76129",90260,"#VALUE!","#VALUE!"
"P75917",11194,"#VALUE!","#VALUE!"
"P67729",43574,"#VALUE!","#VALUE!"
"P45472",11270,"#VALUE!","#VALUE!"
"P45465",14798,"#VALUE!","#VALUE!"
"P42904",17086,"#VALUE!","#VALUE!"
"P42619",14102,"#VALUE!","#VALUE!"
"P42604",54093,"#VALUE!","#VALUE!"
"P33020",39710,"#VALUE!","#VALUE!"
"P31667",33267,"#VALUE!","#VALUE!"
"P27245",16065,"#VALUE!","#VALUE!"
"P0DM85",84371,8.15607996612291E-08,7.34047196951062E-08
"P0AFU0",40360,"#VALUE!","#VALUE!"
"P0AF32",26018,"#VALUE!","#VALUE!"
"P0A9U8",43002,"#VALUE!","#VALUE!"
"P0A8Y8",14970,"#VALUE!","#VALUE!"
"P0A772",15340,"#VALUE!","#VALUE!"
"P77549",40465,2.31632671037891E-07,2.08469403934102E-07
"P77365",16815,"#VALUE!","#VALUE!"
"P69902",45828,"#VALUE!","#VALUE!"
"P69432",16082,"#VALUE!","#VALUE!"
"P55914",8697,"#VALUE!","#VALUE!"
"P45769",28574,"#VALUE!","#VALUE!"
"P42593",72678,"#VALUE!","#VALUE!"
"P39834",19494,"#VALUE!","#VALUE!"
"P39359",32722,"#VALUE!","#VALUE!"
"P39336",69578,"#VALUE!","#VALUE!"
"P39304",23578,"#VALUE!","#VALUE!"
"P39165",52100,"#VALUE!","#VALUE!"
"P37682",37274,"#VALUE!","#VALUE!"
"P32701",60801,"#VALUE!","#VALUE!"
"P32140",47433,"#VALUE!","#VALUE!"
"P24240",53935,"#VALUE!","#VALUE!"
"P18775",90399,"#VALUE!","#VALUE!"
"P18393",8271,"#VALUE!","#VALUE!"
"P14407",60105,2.80569150834628E-07,2.52512235751165E-07
"P0AEC8",60551,1.40284575417314E-07,1.26256117875583E-07
"P0ABW9",15240,"#VALUE!","#VALUE!"
"P0AAA7",44960,1.40284575417314E-07,1.26256117875583E-07
"P0A932",41741,"#VALUE!","#VALUE!"
"Q47702",13732,"#VALUE!","#VALUE!"
"Q46938",31076,"#VALUE!","#VALUE!"
"Q46801",16922,"#VALUE!","#VALUE!"
"P75682",32530,2.47944830970136E-07,2.23150347873122E-07
"P64439",14203,"#VALUE!","#VALUE!"
"P46022",27342,"#VALUE!","#VALUE!"
"P43674",26740,"#VALUE!","#VALUE!"
"P43531",45258,"#VALUE!","#VALUE!"
"P36547",40160,"#VALUE!","#VALUE!"
"P31446",15729,"#VALUE!","#VALUE!"
"P26608",14950,"#VALUE!","#VALUE!"
"P24197",29903,"#VALUE!","#VALUE!"
"P11350",25497,"#VALUE!","#VALUE!"
"P0AGC5",58302,"#VALUE!","#VALUE!"
"Q47158",17555,"#VALUE!","#VALUE!"
"Q46866",17827,"#VALUE!","#VALUE!"
"P77561",83495,"#VALUE!","#VALUE!"
"P76220",24125,"#VALUE!","#VALUE!"
"P75936",23575,"#VALUE!","#VALUE!"
"P75893",17749,"#VALUE!","#VALUE!"
"P52101",53330,"#VALUE!","#VALUE!"
"P52045",29173,"#VALUE!","#VALUE!"
"P40711",15623,"#VALUE!","#VALUE!"
"P39367",27354,"#VALUE!","#VALUE!"
"P38134",81242,"#VALUE!","#VALUE!"
"P33931",23053,"#VALUE!","#VALUE!"
"P31469",22485,"#VALUE!","#VALUE!"
"P30847",51991,"#VALUE!","#VALUE!"
"P28904",63838,9.13480956205766E-08,8.22132860585189E-08
"P24077",43282,"#VALUE!","#VALUE!"
"P0AAR8",12704,"#VALUE!","#VALUE!"
"P0AAN1",17964,"#VALUE!","#VALUE!"
