Entry,EC,kcat(s-1),kcat(h-1),Mw,#(cell)-1,conc_fmol(cell)-1,growth_rate1,conc_mmolgDW,0.9conc,1.1conc,growth_rate2,flux_ub_step2(mmol*(gDWh)-1)
P52643,1.1.1.28,1340,4824000,36535,183.5152425629,3.04741352645113E-07,0.65,5.98705997338139E-07,5.38835397604326E-07,6.58576597071953E-07,0.65,1.8773025253
P00393,1.6.99.3,1170,4212000,47359,1131.5051137386,0.000001879,0.65,3.69145847589154E-06,3.32231262830239E-06,4.0606043234807E-06,0.65,10.1064750153
P0A9D4,2.3.1.30,1080,3888000,29317,582.4074482508,9.67132926354698E-07,0.65,1.90006468831964E-06,1.71005821948768E-06,2.09007115715161E-06,0.65,4.8018434803
P52061,3.6.1.66,1009,3632400,21039,466.5496973512,7.74742107856513E-07,0.65,1.52208665590671E-06,1.36987799031603E-06,1.67429532149738E-06,0.65,3.5937379198
Q46939,2.3.1.9,1000,3600000,41019,40.6981776384,6.75824935875156E-08,0.65,1.32775036517712E-07,1.19497532865941E-07,1.46052540169484E-07,0.65,0.3106935855
P76461,2.3.1.9,1000,3600000,40352,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0A7A9,3.6.1.1,916,3297600,19704,9208.4330735974,1.52913202816298E-05,0.65,3.00418866043807E-05,2.70376979439426E-05,3.30460752648187E-05,0.65,64.3929814233
P0ACC7,2.3.1.157,853,3070800,49190,532.8571318657,8.84850766964035E-07,0.65,1.73841015120636E-06,1.56456913608572E-06,1.91225116632699E-06,0.65,3.46990143
P37197,1.11.1.5,830,2988000,51571,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P25718,3.2.1.1,706,2541600,75713,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P26612,3.2.1.1,706,2541600,56639,162.4702724763,2.69794540810917E-07,0.65,0.00000053,0.000000477,5.83053035151294E-07,0.65,0.8756608511
P0AC33,4.2.1.2,650,2340000,60299,2749.461663802,4.56569522384917E-06,0.65,8.96993167750328E-06,8.07293850975296E-06,9.86692484525361E-06,0.65,13.6432660815
P14407,4.2.1.2,650,2340000,60105,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P0ACX5,4.2.1.2,650,2340000,7907,32.3292806183,5.3685288306719E-08,0.65,1.05472079188053E-07,9.49248712692478E-08,0.000000116,0.65,0.1604230324
P11663,4.2.1.2,650,2340000,19272,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P05042,4.2.1.2,650,2340000,50489,670.1276267,1.11279911441374E-06,0.65,2.18624580434919E-06,1.96762122391427E-06,2.40487038478411E-06,0.65,3.3252798684
P0A731,4.2.3.3,600,2160000,16919,621.1961867936,1.03154464761475E-06,0.65,2.02661030965571E-06,1.82394927869014E-06,2.22927134062128E-06,0.65,2.8453608748
P0A799,2.7.2.3,575,2070000,41118,46061.3509789102,7.6488460609283E-05,0.65,0.000150272,0.0001352448,0.0001652992,0.65,202.1910093316
P0A7E9,2.7.4.22,545.2,1962720,25970,547.0020182068,9.0833945235272E-07,0.65,1.78455688085014E-06,1.60610119276512E-06,0.000001963,0.65,2.2766805628
P0AED7,3.5.1.18,470,1692000,41269,94.5723442368,0.000000157,0.65,3.08535840871666E-07,2.77682256784499E-07,3.39389424958832E-07,0.65,0.3393277178
P77608,4.2.1.80,450,1620000,28890,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P0AEK2,1.1.1.100,361,1299600,25560,3911.0305438897,6.49457081350005E-06,0.65,1.27594711463655E-05,1.1483524031729E-05,1.40354182610021E-05,0.65,10.7784356562
P62707,5.4.2.11,330,1188000,28556,11012.6589838522,1.82873779207111E-05,0.65,3.59280509247762E-05,3.23352458322985E-05,3.95208560172538E-05,0.65,27.7436409241
P37306,2.7.2.2,319,1148400,31644,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0A717,2.7.6.1,311,1119600,34218,8799.6892209903,1.46125692809536E-05,0.65,2.87083875853705E-05,2.58375488268335E-05,3.15792263439076E-05,0.65,20.8922419814
P0A6M4,3.1.1.96,300,1080000,15950,4.1783362628,6.93845277781823E-09,0.65,1.36315378739062E-08,1.22683840865155E-08,0.000000015,0.65,0.0095693396
P0A763,2.7.4.6,264,950400,15463,18745.2718680274,0.000031128,0.65,6.11551745369382E-05,5.50396570832444E-05,6.72706919906321E-05,0.65,37.7792206219
P21156,2.7.7.4,260,936000,35188,1113.3485081327,1.8488019065638E-06,0.65,3.63222378499764E-06,0.000003269,3.99544616349741E-06,0.65,2.2098449508
P23845,2.7.7.4,260,936000,52558,1616.4989120423,2.68432233816383E-06,0.65,5.27371775670694E-06,4.74634598103625E-06,5.80108953237764E-06,0.65,3.2085298832
P27306,1.6.1.1,259.5,934200,51560,705.5982523289,1.1717008507621E-06,0.65,0.000002302,2.07176967718249E-06,2.5321629387786E-06,0.65,1.3978230012
P0AGF6,4.3.1.19,243,874800,35232,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P04968,4.3.1.19,243,874800,56195,168.3202961349,2.7950896070234E-07,0.65,5.49133518079253E-07,4.94220166271328E-07,0.000000604,0.65,0.3122483011
P15770,1.1.1.25,236.666667,852000.0012,29414,164.277226268,2.72795128309499E-07,0.65,5.35943277621805E-07,4.82348949859624E-07,5.89537605383985E-07,0.65,0.2968053876
P04391,2.1.3.3,220,792000,36907,463.0699320787,0.000000769,0.65,1.51073415837636E-06,1.35966074253873E-06,1.661807574214E-06,0.65,0.7777259447
P06960,2.1.3.3,220,792000,36827,53.6502305226,8.90903861219329E-08,0.65,0.000000175,1.57527205323654E-07,1.92533250951132E-07,0.65,0.0901055614
P0A6K3,3.5.1.88,194,698400,19328,528.1378892149,0.000000877,0.65,0.000001723,1.55071254872726E-06,1.89531533733332E-06,0.65,0.7821794096
P0A6C8,2.7.2.8,187.5,675000,27160,5485.6133082562,9.10928812397239E-06,0.65,1.78964403221461E-05,1.61067962899315E-05,1.96860843543608E-05,0.65,7.8520631913
P37095,3.4.11.23,178.333333,641999.9988,46180,3399.3349766013,5.64486047260269E-06,0.65,1.10900991603196E-05,9.98108924428767E-06,1.21991090763516E-05,0.65,4.627898371
P24186,3.5.4.9,177,637200,31044,1769.4260060644,2.93826968791835E-06,0.65,5.77263199983959E-06,5.19536879985563E-06,6.34989519982355E-06,0.65,2.3909087217
P0A9P0,1.8.1.4,176.4,635040,50688,14093.5273859525,2.34033998438268E-05,0.65,4.59791745458287E-05,4.13812570912458E-05,5.05770920004116E-05,0.65,18.9790997523
P0A6K6,5.4.2.7,173,622800,44370,1215.493026338,2.0184208341714E-06,0.65,3.96546332843105E-06,3.56891699558795E-06,0.000004362,0.65,1.6052988646
P08997,2.3.3.9,161,579600,60274,4841.5623215231,8.03979130110118E-06,0.65,1.57952677821241E-05,1.42157410039117E-05,1.73747945603365E-05,0.65,5.9507091842
P37330,2.3.3.9,161,579600,80489,443.386518728,7.36277845778756E-07,0.65,1.44651836105846E-06,1.30186652495261E-06,1.59117019716431E-06,0.65,0.5449613273
P05020,3.5.2.3,160,576000,38827,4284.3113948931,7.11443273811548E-06,0.65,1.3977274534608E-05,1.25795470811472E-05,0.000015375,0.65,5.2330915858
P08312,6.1.1.20,160,576000,36832,4408.4759774727,7.32061769756339E-06,0.65,1.43823530403996E-05,1.29441177363596E-05,1.58205883444395E-05,0.65,5.3847529783
P07395,6.1.1.20,160,576000,87378,5931.5393440668,9.84978303564723E-06,0.65,1.93512436849651E-05,1.74161193164686E-05,2.12863680534616E-05,0.65,7.2451056357
P0A786,2.1.3.2,156,561600,34427,10760.5606114652,1.78687489396632E-05,0.65,3.5105597130969E-05,0.000031595,3.86161568440659E-05,0.65,12.8149471767
P07102,3.1.3.2,156,561600,47057,7.2336303423,0.000000012,0.65,2.3599227006868E-08,2.12393043061812E-08,0.000000026,0.65,0.0086146618
P0AE22,3.1.3.2,156,561600,26104,36.3658437203,6.03883157095774E-08,0.65,1.18641091767343E-07,1.06776982590608E-07,1.30505200944077E-07,0.65,0.0433087441
P29208,4.2.1.113,150,540000,35477,13.3968875867,2.22465752021674E-08,0.65,4.37064345818613E-08,3.93357911236751E-08,4.80770780400474E-08,0.65,0.0153409585
P21888,6.1.1.16,141.9,510840,52202,571.5697125754,9.49136022210837E-07,0.65,1.86470731279143E-06,1.67823658151229E-06,2.05117804407057E-06,0.65,0.6191686044
P61889,1.1.1.37,140,504000,32337,75762.5520850986,0.0001258096,0.65,0.0002471702,0.0002224532,0.0002718872,0.65,80.9729487722
P25526,1.2.1.79,136.3,490680,51720,877.3312839709,1.45687692456144E-06,0.65,2.86223364353917E-06,0.000002576,3.14845700789309E-06,0.65,0.9128865227
P24186,1.5.1.5,136,489600,31044,1769.4260060644,2.93826968791835E-06,0.65,5.77263199983959E-06,5.19536879985563E-06,6.34989519982355E-06,0.65,1.8370824076
P07913,1.1.1.103,135,486000,37239,247.1872121791,4.10473617036088E-07,0.65,8.06431467654397E-07,7.25788320888957E-07,8.87074614419836E-07,0.65,0.2547517006
P26616,1.1.1.38,130,468000,63197,511.6480822768,8.49631488337398E-07,0.65,1.66921706942514E-06,1.50229536248263E-06,1.83613877636766E-06,0.65,0.5077758325
P0C037,2.4.2.4,130,468000,10234,1558.6855126136,2.58831868584117E-06,0.65,5.08510547316536E-06,4.57659492584882E-06,5.59361602048189E-06,0.65,1.5468890849
P07650,2.4.2.4,130,468000,47207,123.2460694502,2.04659696861848E-07,0.65,4.02081919178484E-07,3.61873727260635E-07,4.42290111096332E-07,0.65,0.1223133198
P0A6L2,4.3.3.7,124,446400,31270,4928.4982855445,8.18415524002747E-06,0.65,1.60788904519204E-05,0.000014471,1.76867794971124E-05,0.65,4.6654508535
P00935,2.5.1.48,121,435600,41550,1585.0223213691,2.63205300791951E-06,0.65,0.000005171,4.6539247684235E-06,5.68813027251761E-06,0.65,1.4641247321
P19319,1.7.5.1,120,432000,140227,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P09152,1.7.5.1,120,432000,140489,1.1515069724,1.91216700827632E-09,0.65,3.75671317932479E-09,3.38104186139232E-09,4.13238449725727E-09,0.65,0.0010548851
P19318,1.7.5.1,120,432000,58558,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0AF32,1.7.5.1,120,432000,26018,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P11349,1.7.5.1,120,432000,58066,0.0061386338,1.01936795270143E-11,0.65,2.00268752986528E-11,1.80241877687876E-11,2.20295628285181E-11,0.65,5.62354658386172E-06
P11350,1.7.5.1,120,432000,25497,0.3870971026,6.42804886357714E-10,0.65,1.26287796926859E-09,1.13659017234173E-09,1.38916576619545E-09,0.65,0.0003546161
P77570,2.7.1.170,116.666667,420000.0012,39496,71.5918500366,1.18883842637974E-07,0.65,2.33563541528437E-07,2.10207187375593E-07,2.5691989568128E-07,0.65,0.063762847
P0A6V8,2.7.1.2,116,417600,34723,1524.9202854187,2.53224889641094E-06,0.65,4.97494871593506E-06,4.47745384434155E-06,5.47244358752856E-06,0.65,1.3504000795
P0AC47,1.3.5.1,110,396000,27123,169.6283278606,2.81681049253763E-07,0.65,5.53400882620359E-07,4.98060794358323E-07,6.08740970882395E-07,0.65,0.1424453872
P07014,1.3.5.1,110,396000,26770,4131.6940585388,0.000006861,0.65,1.34793708547989E-05,1.2131433769319E-05,1.48273079402788E-05,0.65,3.469590058
P0AC41,1.3.5.1,110,396000,64422,3371.215290335,5.5981655435653E-06,0.65,1.09983605963955E-05,9.89852453675593E-06,1.2098196656035E-05,0.65,2.8309780175
P0AC81,4.4.1.5,106,381600,14920,2369.8335516635,3.93529317778731E-06,0.65,7.73142078150749E-06,6.95827870335674E-06,8.50456285965824E-06,0.65,1.9177016106
P00350,1.1.1.44,98,352800,51481,10317.8758768558,1.71336364610691E-05,0.65,3.36613682928666E-05,3.02952314635799E-05,3.70275051221532E-05,0.65,7.7192249769
P32662,3.1.3.18,94,338400,27389,459.6502860879,7.63285098120063E-07,0.65,1.49957779591368E-06,1.34962001632231E-06,1.64953557550505E-06,0.65,0.329847132
P0AB65,3.6.1.7,94,338400,10300,197.0780094204,3.27263383295279E-07,0.65,0.000000643,5.78658241583008E-07,7.07248961934788E-07,0.65,0.1414240742
P0A8M3,6.1.1.3,90,324000,74014,1117.598580513,1.85585948275163E-06,0.65,3.64608935707589E-06,3.2814804213683E-06,4.01069829278348E-06,0.65,0.7678664186
P77671,3.5.2.5,83.3333333,299999.99988,49602,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P45425,2.7.1.60,83,298800,29644,24.0998174217,0.00000004,0.65,7.86240152242064E-08,7.07616137017858E-08,8.64864167466271E-08,0.65,0.0152703562
P77713,3.2.1.37,80,288000,60825,20.8944743142,3.46969018834502E-08,0.65,6.81668013427312E-08,6.13501212084581E-08,0.000000075,0.65,0.0127608252
P08200,1.1.1.42,76.2,274320,45757,23699.1323169438,3.93542549268412E-05,0.65,7.73168073218885E-05,6.95851265896997E-05,8.50484880540774E-05,0.65,13.78620528
P00490,2.4.1.1,73,262800,90522,438.9454556569,7.28903114674303E-07,0.65,0.000001432,1.28882672535731E-06,1.57523266432561E-06,0.65,0.2446193125
P0AC86,2.4.1.1,73,262800,93173,162.1053451159,2.69188550507954E-07,0.65,5.2885766308046E-07,0.000000476,5.81743429388506E-07,0.65,0.090339466
P75913,1.1.1.79,70.6,254160,35343,1072.9347256281,1.78169167324499E-06,0.65,3.50037656826127E-06,3.15033891143514E-06,3.8504142250874E-06,0.65,0.5782762106
P37666,1.1.1.79,70.6,254160,35396,1676.4807734364,2.78392689046237E-06,0.65,5.46940449992607E-06,4.92246404993347E-06,6.01634494991868E-06,0.65,0.903567501
P02918,2.4.1.129,70,252000,93636,94.2977624728,1.56588778599837E-07,0.65,3.07640036541919E-07,2.76876032887727E-07,3.38404040196111E-07,0.65,0.050391438
P02919,2.4.1.129,70,252000,94293,137.3586194244,2.28094685194963E-07,0.65,4.48123153624683E-07,4.03310838262215E-07,4.92935468987151E-07,0.65,0.0734025726
P0ABG7,2.4.1.129,70,252000,40476,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0ABG4,2.4.1.129,70,252000,45987,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P76577,2.4.1.129,70,252000,85067,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P46022,2.4.1.129,70,252000,27342,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P16659,6.1.1.15,70,252000,63693,4835.1825383995,8.0291971743599E-06,0.65,1.57744541735951E-05,0.000014197,1.73518995909546E-05,0.65,2.5838555936
P0A7Z0,5.3.1.6,69,248400,22860,2279.173568597,3.78474521520585E-06,0.65,7.43564875286021E-06,6.69208387757419E-06,8.17921362814623E-06,0.65,1.2005598476
P37351,5.3.1.6,69,248400,16073,14.1542676169,2.35042637278429E-08,0.65,4.6177335418159E-08,4.15596018763431E-08,5.07950689599749E-08,0.65,0.0074557926
P77439,2.7.3.9,63.8333333,229799.99988,92130,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P32670,2.7.3.9,63.8333333,229799.99988,91774,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P37177,2.7.3.9,63.8333333,229799.99988,83716,67.5616737038,1.12191420962865E-07,0.65,2.20415365349441E-07,1.98373828814497E-07,2.42456901884385E-07,0.65,0.0329234431
P08839,2.7.3.9,63.8333333,229799.99988,63562,9260.7851158239,1.53782549249816E-05,0.65,3.02126815814962E-05,2.71914134233466E-05,3.32339497396459E-05,0.65,4.5128682455
P09148,2.7.7.12,62,223200,39646,109.7351091315,1.8222369500421E-07,0.65,0.000000358,3.22202997060488E-07,3.9380366307393E-07,0.65,0.0519391231
P06999,2.7.1.11,61,219600,32456,1151.1980093189,1.91165395104435E-06,0.65,3.75570520833861E-06,3.38013468750475E-06,4.13127572917248E-06,0.65,0.5360893614
P0A796,2.7.1.11,61,219600,34842,1988.0087095459,3.30124329051123E-06,0.65,6.48574320336194E-06,5.83716888302574E-06,7.13431752369813E-06,0.65,0.9257749848
P06715,1.8.1.7,60,216000,48773,1133.6458270691,1.88250718543522E-06,0.65,3.69844240753482E-06,3.32859816678133E-06,4.0682866482883E-06,0.65,0.519261314
P0A6E1,2.7.1.71,60,216000,19151,434.1037876026,7.20863147795799E-07,0.65,1.41623408211355E-06,1.2746106739022E-06,1.55785749032491E-06,0.65,0.1988392651
P0A6D7,2.7.1.71,60,216000,19538,1554.6178507924,2.58156401659308E-06,0.65,5.07183500312982E-06,4.56465150281683E-06,0.000005579,0.65,0.7120856344
P66899,4.3.1.15,58.6,210960,43328,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0A7E1,1.3.5.2,55,198000,36775,1206.3164328718,2.00318238603746E-06,0.65,3.93552531638008E-06,0.000003542,4.32907784801809E-06,0.65,0.5065021082
Q46893,2.7.7.60,54.1,194760,25737,41.0738207024,6.82062781507062E-08,0.65,0.000000134,1.20600491818538E-07,1.47400601111546E-07,0.65,0.0169636652
P75849,3.1.2.6,53,190800,23784,770.9306106594,1.28019031992596E-06,0.65,2.51510868354806E-06,2.26359781519325E-06,2.76661955190286E-06,0.65,0.3119237789
P0AC84,3.1.2.6,53,190800,28434,206.7980129961,3.43404206237307E-07,0.65,6.74664452332626E-07,6.07198007099363E-07,7.42130897565889E-07,0.65,0.0836718854
P77788,3.6.1.65,51.7,186120,15046,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P37678,4.1.1.85,51,183600,23445,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P39304,4.1.1.85,51,183600,23578,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P21165,3.4.13.9,50.1,180360,50176,1431.7030741604,2.37745445725731E-06,0.65,4.67083390423832E-06,4.20375051381449E-06,5.13791729466216E-06,0.65,0.5475805419
P0ABR9,1.13.11.16,50,180000,34196,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P0A9C5,6.3.1.2,50,180000,51904,13251.1818951442,2.2004619553544E-05,0.65,4.32310796729745E-05,0.000038908,4.75541876402719E-05,0.65,5.0580363217
P27302,2.2.1.1,48,172800,72212,3669.1361388392,6.09288631491063E-06,0.65,1.19703071019855E-05,1.0773276391787E-05,1.31673378121841E-05,0.65,1.3445048937
P33570,2.2.1.1,48,172800,73043,666.5949976748,1.10693290879243E-06,0.65,2.17472084242128E-06,1.95724875817916E-06,2.39219292666341E-06,0.65,0.244264645
P06987,3.1.3.15,48,172800,40278,1924.3965187334,3.19561029347959E-06,0.65,6.27821275732729E-06,5.65039148159456E-06,0.000006906,0.65,0.7051688569
P32718,2.7.1.55,47,169200,33821,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P00722,3.2.1.23,43,154800,116483,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P06864,3.2.1.23,43,154800,117879,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P02918,3.4.16.4,42,151200,93636,94.2977624728,1.56588778599837E-07,0.65,3.07640036541919E-07,2.76876032887727E-07,3.38404040196111E-07,0.65,0.0302348628
P02919,3.4.16.4,42,151200,94293,137.3586194244,2.28094685194963E-07,0.65,4.48123153624683E-07,4.03310838262215E-07,4.92935468987151E-07,0.65,0.0440415435
P0AEB2,3.4.16.4,42,151200,44444,1188.0198433838,1.97279947423416E-06,0.65,3.87583393759167E-06,3.4882505438325E-06,4.26341733135083E-06,0.65,0.3809169594
P24228,3.4.16.4,42,151200,51798,5.855327899,9.72322799574317E-09,0.65,1.9102609028965E-08,1.71923481260685E-08,0.000000021,0.65,0.0018774044
P33013,3.4.16.4,42,151200,43346,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P08506,3.4.16.4,42,151200,43609,1540.2163439334,2.55764919284861E-06,0.65,5.02485106650021E-06,4.52236595985019E-06,5.52733617315023E-06,0.65,0.4938423628
P0AD68,3.4.16.4,42,151200,63877,14.130376104,2.34645900100327E-08,0.65,4.60993909823825E-08,4.14894518841443E-08,5.07093300806208E-08,0.65,0.0045306481
P0AD65,3.4.16.4,42,151200,70857,11.8716337126,1.97137723556192E-08,0.65,3.87303975552441E-08,3.48573577997197E-08,4.26034373107685E-08,0.65,0.0038064235
P09831,1.4.1.13,41.9,150840,163297,3858.169347206,6.40679067951843E-06,0.65,0.000012587,1.13283135787163E-05,1.38457165962088E-05,0.65,1.2341064813
P09832,1.4.1.13,41.9,150840,52015,3007.9798386958,0.000004995,0.65,9.81332964035537E-06,0.000008832,1.07946626043909E-05,0.65,0.9621577179
P37666,1.1.1.215,40.7,146520,35396,1676.4807734364,2.78392689046237E-06,0.65,5.46940449992607E-06,4.92246404993347E-06,6.01634494991868E-06,0.65,0.5208951458
P08373,1.3.1.98,40,144000,37851,35.124282523,5.8326606647328E-08,0.65,1.14590582804181E-07,1.03131524523763E-07,0.000000126,0.65,0.0107256786
P0A9J8,5.4.99.5,39.0333333,140519.99988,43111,1457.3251724719,0.00000242,0.65,4.75442425732974E-06,0.000004279,5.22986668306271E-06,0.65,0.4342596024
P07023,5.4.99.5,39.0333333,140519.99988,42043,1805.7463751902,2.99858248952204E-06,0.65,5.89112473383504E-06,0.000005302,6.48023720721855E-06,0.65,0.5380835505
P0AE18,3.4.11.18,39,140400,29331,1629.4609846528,2.70584686923417E-06,0.65,0.000005316,4.78440507330208E-06,5.84760620070254E-06,0.65,0.4851386744
P0A9Q7,1.2.1.10,37.9,136440,96127,19994.344955011,3.32021669794271E-05,0.65,6.52301905293263E-05,5.87071714763937E-05,7.1753209582259E-05,0.65,5.7850046773
P77580,1.2.1.10,37.9,136440,33442,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P39306,5.1.3.4,37.2,133920,25278,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P37680,5.1.3.4,37.2,133920,25561,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P08203,5.1.3.4,37.2,133920,25519,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
P04425,6.3.2.3,36.3,130680,35561,1272.7883418803,2.11356416785168E-06,0.65,4.15238539852982E-06,3.73714685867684E-06,4.5676239383828E-06,0.65,0.3527119205
P60906,6.1.1.21,34,122400,47029,1668.4961809992,2.7706678528715E-06,0.65,5.44335531016013E-06,0.000004899,5.98769084117614E-06,0.65,0.4330733485
P28861,1.18.1.2,33.7,121320,27751,124.3570293945,2.06504532372167E-07,0.65,4.05706350436478E-07,3.6513571539283E-07,4.46276985480125E-07,0.65,0.0319931914
P0A853,4.1.99.1,33.35,120060,52773,699.6600661701,1.16184003017287E-06,0.65,2.28259337951448E-06,2.05433404156304E-06,2.51085271746593E-06,0.65,0.1781313047
P60595,3.5.1.2,33,118800,21653,1049.3022216795,1.74244805991289E-06,0.65,3.4232771314595E-06,3.08094941831355E-06,3.76560484460545E-06,0.65,0.2643454601
P77454,3.5.1.2,33,118800,32903,58.6408549396,9.73777066417275E-08,0.65,1.91311800867834E-07,1.72180620781051E-07,2.10442980954617E-07,0.65,0.0147730973
P0A6W0,3.5.1.2,33,118800,33516,NA,#VALUE!,0.65,#VALUE!,#VALUE!,#VALUE!,0.65,#VALUE!
P0A9J8,4.2.1.51,32.2,115920,43111,1457.3251724719,0.00000242,0.65,4.75442425732974E-06,0.000004279,5.22986668306271E-06,0.65,0.3582363589
P0A9S5,1.1.1.6,31.7,114120,38712,17.2827973774,2.86994310485281E-08,0.65,5.63839509794265E-08,5.07455558814838E-08,0.000000062,0.65,0.0041824487
P36562,2.4.2.21,31,111600,36987,38.7509717265,6.43490065201818E-08,0.65,1.26422409666369E-07,1.13780168699732E-07,1.39064650633006E-07,0.65,0.0091706816
P00634,3.1.3.1,31,111600,49439,#N/A,#N/A,0.65,#N/A,#N/A,#N/A,0.65,#N/A
